"MONTO"	"CLASE"	"MARCA"	"MODELO"	"CLASEPOLIZA"	"ZONA"	"SEXO"	"EDAD"	"VALOR"
0.716792	"AU"	"CH"	"M6"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V2"
0.436689	"AU"	"MZ"	"M8"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E4"	"V1"
4.301685	"AU"	"KO"	"M6"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E4"	"V2"
3.959068	"AU"	"CH"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E5"	"V2"
1.77913	"AU"	"CH"	"M2"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E1"	"V3"
0.76467	"AU"	"CH"	"M2"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E4"	"V3"
2.84766	"CP"	"JA"	"M3"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V5"
1.24631	"AU"	"CH"	"M3"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V4"
1.358241	"AU"	"MZ"	"M8"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V1"
3.042463	"AU"	"JA"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E6"	"V2"
7.871761	"AU"	"JA"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E4"	"V2"
4.793226	"AU"	"CH"	"M6"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V3"
1.827085	"AU"	"KO"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V2"
1.107919	"AU"	"CH"	"M6"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V3"
2.370404	"AU"	"CH"	"M4"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E4"	"V3"
1.718391	"PD"	"JA"	"M1"	"POLIZA COLECTIVA"	"AN"	"M"	"E4"	"V7"
4.944178	"PD"	"JA"	"M1"	"POLIZA COLECTIVA"	"AN"	"M"	"E4"	"V7"
1.31416	"PD"	"MZ"	"M3"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V4"
